date,feature_index,NO2
2024-10-14T00:00:00.000Z,0,3.8019299171526057E-5
2024-10-17T00:00:00.000Z,0,1.929249570946759E-5
2024-10-18T00:00:00.000Z,0,2.9147799314215924E-5
2024-10-13T00:00:00.000Z,0,4.3406690262296856E-5
2024-12-28T00:00:00.000Z,0,
2024-12-27T00:00:00.000Z,0,1.368418800211657E-5
2024-12-24T00:00:00.000Z,0,
2024-12-25T00:00:00.000Z,0,4.028744539634014E-5
2024-12-29T00:00:00.000Z,0,2.1645708824033374E-5
2024-12-30T00:00:00.000Z,0,3.23267248115206E-5
2024-12-26T00:00:00.000Z,0,4.173972047283314E-5
2024-12-23T00:00:00.000Z,0,2.414661349366025E-5
2025-02-05T00:00:00.000Z,0,2.0536073928193826E-5
2025-02-07T00:00:00.000Z,0,2.7093350973002597E-5
2025-02-01T00:00:00.000Z,0,
2025-02-03T00:00:00.000Z,0,
2025-02-06T00:00:00.000Z,0,8.666446478855506E-6
2025-02-04T00:00:00.000Z,0,
2025-02-08T00:00:00.000Z,0,1.995177798822364E-5
2025-02-02T00:00:00.000Z,0,
2025-03-17T00:00:00.000Z,0,
2025-03-16T00:00:00.000Z,0,2.4957477473270213E-5
2025-03-18T00:00:00.000Z,0,2.0703047832813033E-5
2025-03-20T00:00:00.000Z,0,1.3634232055171875E-5
2025-03-19T00:00:00.000Z,0,
2025-03-13T00:00:00.000Z,0,1.9776277681557986E-5
2025-03-14T00:00:00.000Z,0,
2025-03-15T00:00:00.000Z,0,
2025-05-21T00:00:00.000Z,0,1.637457708625334E-5
2025-05-23T00:00:00.000Z,0,2.5983779172141414E-5
2025-05-16T00:00:00.000Z,0,
2025-05-18T00:00:00.000Z,0,2.048049729217802E-5
2025-05-22T00:00:00.000Z,0,
2025-05-19T00:00:00.000Z,0,1.915973552968353E-5
2025-05-20T00:00:00.000Z,0,2.6143770102093047E-5
2025-05-17T00:00:00.000Z,0,3.1186746279369494E-5
2022-06-15T00:00:00.000Z,0,2.3101695903180273E-5
2022-06-11T00:00:00.000Z,0,2.8394594447821543E-5
2022-06-16T00:00:00.000Z,0,2.353399162302594E-5
2022-06-09T00:00:00.000Z,0,1.9893173527764573E-5
2022-06-10T00:00:00.000Z,0,2.2900676257060175E-5
2022-06-13T00:00:00.000Z,0,4.005411190317116E-5
2022-06-12T00:00:00.000Z,0,2.2652412280876887E-5
2022-06-14T00:00:00.000Z,0,
